link,genre,title
https://www.lebenshilfe.de/woerterbuch/woerterbuch-detail?tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&tx_lfdictionary_detail%5Bdictionaryentry%5D=155&cHash=c22dfd887bb3b9321299e8237fcb45d6,news,kombi-lohne
https://www.lebenshilfe.de/woerterbuch/woerterbuch-detail?tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&tx_lfdictionary_detail%5Bdictionaryentry%5D=154&cHash=eeb6fae2847e3d1bbcb53bb9e4382b66,news,koalitions-vertrag
https://www.lebenshilfe.de/woerterbuch/woerterbuch-detail?tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&tx_lfdictionary_detail%5Bdictionaryentry%5D=153&cHash=9be7148c939834e19394819d35a3d23d,news,kirche
https://www.lebenshilfe.de/woerterbuch/woerterbuch-detail?tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&tx_lfdictionary_detail%5Bdictionaryentry%5D=152&cHash=f4fbf5842dfb6a6c40407f99963cbb83,news,kinder-tagespflege
https://www.lebenshilfe.de/woerterbuch/woerterbuch-detail?tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&tx_lfdictionary_detail%5Bdictionaryentry%5D=343&cHash=d13db395f8554f04fab46c73ef774993,news,kinder-und-jugend-starkungs-gesetz
https://www.lebenshilfe.de/woerterbuch/woerterbuch-detail?tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&tx_lfdictionary_detail%5Bdictionaryentry%5D=151&cHash=8101f90b0c757fa388b0fdd1bc30f00f,news,kilogramm-kg
https://www.lebenshilfe.de/woerterbuch/woerterbuch-detail?tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&tx_lfdictionary_detail%5Bdictionaryentry%5D=150&cHash=9812a18cacf5414a4f290c9794c91fb9,news,kandidat
https://www.lebenshilfe.de/woerterbuch/woerterbuch-detail?tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&tx_lfdictionary_detail%5Bdictionaryentry%5D=149&cHash=01023249da2466826ba25ebd9cdab283,news,jury
https://www.lebenshilfe.de/woerterbuch/woerterbuch-detail?tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&tx_lfdictionary_detail%5Bdictionaryentry%5D=148&cHash=c64f801ad5013583a50129f3c0875a0b,news,juristen
https://www.lebenshilfe.de/woerterbuch/woerterbuch-detail?tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&tx_lfdictionary_detail%5Bdictionaryentry%5D=147&cHash=9fad3da42ce68b1db44e653d92a3cc2a,news,jogging
