,topic,url_normal,url_simple
55,nobel-preis-trager,https://de.wikipedia.org/wiki/Nobelpreis,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-nobel-preis-traeger-100.html
56,ns-zeit,https://de.wikipedia.org/wiki/Zeit_des_Nationalsozialismus,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-ns-zeit100.html
57,oaz,https://de.wikipedia.org/wiki/Operatives_Abwehrzentrum,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-oaz-100.html
58,opposition,https://de.wikipedia.org/wiki/Opposition_(Politik),https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-opposition-100.html
59,paralympische-spiele,https://de.wikipedia.org/wiki/Paralympische_Spiele,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-paralympische-spiele-100.html
60,pension,https://de.wikipedia.org/wiki/Ruhegehalt,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-pension-100.html
61,pferde-rennen,https://de.wikipedia.org/wiki/Pferderennen,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-pferde-rennen-100.html
62,professor-oder-professorin,https://de.wikipedia.org/wiki/Professor,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-professor100.html
63,rechts-extremismus,https://de.wikipedia.org/wiki/Rechtsextremismus,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-Rechts-Extremismus100.html
64,rechts-populismus,https://de.wikipedia.org/wiki/Rechtspopulismus,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-Rechts-Populismus100.html
65,rechts-terrorist,https://de.wikipedia.org/wiki/Rechtsterrorismus,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-rechts-terrorist-100.html
66,reporter-reporterin,https://de.wikipedia.org/wiki/Reporter,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-reporter100.html
67,restaurant,https://de.wikipedia.org/wiki/Restaurant,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-restaurants-100.html
68,richtfest,https://de.wikipedia.org/wiki/Richtfest,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-richtfest-102.html
69,rote-karte,https://de.wikipedia.org/wiki/Rote_Karte,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-rote-karte-100.html
70,schall-platte,,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-schall-platten-100.html
71,schul-landheim,https://de.wikipedia.org/wiki/Schullandheim,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-schul-landheim-100.html
